,vorname,anzahl,geschlecht,bezirke,name length
0,Charlotte,64,w,friedrichshain-kreuzberg,9
1,Marie,51,w,friedrichshain-kreuzberg,5
2,Sophie,50,w,friedrichshain-kreuzberg,6
3,Anton,42,m,friedrichshain-kreuzberg,5
4,Emma,42,w,friedrichshain-kreuzberg,4
5,Maria,42,w,friedrichshain-kreuzberg,5
6,Emil,41,m,friedrichshain-kreuzberg,4
7,Ali,40,m,friedrichshain-kreuzberg,3
8,Alexander,39,m,friedrichshain-kreuzberg,9
9,Anna,39,w,friedrichshain-kreuzberg,4
10,Leon,37,m,friedrichshain-kreuzberg,4
11,Mia,37,w,friedrichshain-kreuzberg,3
12,Elias,35,m,friedrichshain-kreuzberg,5
13,Karl,33,m,friedrichshain-kreuzberg,4
14,Paul,33,m,friedrichshain-kreuzberg,4
15,Oskar,31,m,friedrichshain-kreuzberg,5
16,Luise,30,w,friedrichshain-kreuzberg,5
17,Felix,30,m,friedrichshain-kreuzberg,5
18,Ella,29,w,friedrichshain-kreuzberg,4
19,Noah,29,m,friedrichshain-kreuzberg,4
20,Johanna,28,w,friedrichshain-kreuzberg,7
21,Henry,28,m,friedrichshain-kreuzberg,5
22,Jonas,27,m,friedrichshain-kreuzberg,5
23,Paula,26,w,friedrichshain-kreuzberg,5
24,Jonathan,26,m,friedrichshain-kreuzberg,8
25,Maximilian,26,m,friedrichshain-kreuzberg,10
26,Emilia,24,w,friedrichshain-kreuzberg,6
27,Mira,24,w,friedrichshain-kreuzberg,4
28,Jakob,24,m,friedrichshain-kreuzberg,5
29,Valentin,24,m,friedrichshain-kreuzberg,8
30,Elisabeth,23,w,friedrichshain-kreuzberg,9
31,Ida,23,w,friedrichshain-kreuzberg,3
32,Julius,23,m,friedrichshain-kreuzberg,6
33,Sophia,22,w,friedrichshain-kreuzberg,6
34,Moritz,22,m,friedrichshain-kreuzberg,6
35,Mila,21,w,friedrichshain-kreuzberg,4
36,Adam,21,m,friedrichshain-kreuzberg,4
37,Ben,21,m,friedrichshain-kreuzberg,3
38,David,21,m,friedrichshain-kreuzberg,5
39,Friedrich,21,m,friedrichshain-kreuzberg,9
40,Louis,21,m,friedrichshain-kreuzberg,5
41,Lukas,21,m,friedrichshain-kreuzberg,5
42,Clara,20,w,friedrichshain-kreuzberg,5
43,Hannah,20,w,friedrichshain-kreuzberg,6
44,Julia,19,w,friedrichshain-kreuzberg,5
45,Lina,19,w,friedrichshain-kreuzberg,4
46,Marlene,19,w,friedrichshain-kreuzberg,7
47,Olivia,19,w,friedrichshain-kreuzberg,6
48,Liam,19,m,friedrichshain-kreuzberg,4
49,Luca,19,m,friedrichshain-kreuzberg,4
50,Alma,18,w,friedrichshain-kreuzberg,4
51,Anh,18,w,friedrichshain-kreuzberg,3
52,Carl,18,m,friedrichshain-kreuzberg,4
53,Levi,18,m,friedrichshain-kreuzberg,4
54,Michael,18,m,friedrichshain-kreuzberg,7
55,Carlotta,17,w,friedrichshain-kreuzberg,8
56,Helene,17,w,friedrichshain-kreuzberg,6
57,Lea,17,w,friedrichshain-kreuzberg,3
58,Benjamin,17,m,friedrichshain-kreuzberg,8
59,Henri,17,m,friedrichshain-kreuzberg,5
60,Milan,17,m,friedrichshain-kreuzberg,5
61,Elisa,16,w,friedrichshain-kreuzberg,5
62,Emily,16,w,friedrichshain-kreuzberg,5
63,Maja,16,w,friedrichshain-kreuzberg,4
64,Maya,16,w,friedrichshain-kreuzberg,4
65,Nora,16,w,friedrichshain-kreuzberg,4
66,Daniel,16,m,friedrichshain-kreuzberg,6
67,Rosa,16,w,friedrichshain-kreuzberg,4
68,Leo,16,m,friedrichshain-kreuzberg,3
69,Luis,16,m,friedrichshain-kreuzberg,4
70,Max,16,m,friedrichshain-kreuzberg,3
71,Minh,16,m,friedrichshain-kreuzberg,4
72,Theodor,16,m,friedrichshain-kreuzberg,7
73,Tony,16,m,friedrichshain-kreuzberg,4
74,Erik,15,m,friedrichshain-kreuzberg,4
75,Finn,15,m,friedrichshain-kreuzberg,4
76,Milo,15,m,friedrichshain-kreuzberg,4
77,Niklas,15,m,friedrichshain-kreuzberg,6
78,Vincent,15,m,friedrichshain-kreuzberg,7
79,Elif,14,w,friedrichshain-kreuzberg,4
80,Martha,14,w,friedrichshain-kreuzberg,6
81,Mina,14,w,friedrichshain-kreuzberg,4
82,Johann,14,m,friedrichshain-kreuzberg,6
83,Leonard,14,m,friedrichshain-kreuzberg,7
84,Leopold,14,m,friedrichshain-kreuzberg,7
85,Theo,14,m,friedrichshain-kreuzberg,4
86,Yusuf,14,m,friedrichshain-kreuzberg,5
87,Lia,13,w,friedrichshain-kreuzberg,3
88,Louise,13,w,friedrichshain-kreuzberg,6
89,Pauline,13,w,friedrichshain-kreuzberg,7
90,Sofia,13,w,friedrichshain-kreuzberg,5
91,Amir,13,m,friedrichshain-kreuzberg,4
92,Frederik,13,m,friedrichshain-kreuzberg,8
93,Amalia,12,w,friedrichshain-kreuzberg,6
94,Elena,12,w,friedrichshain-kreuzberg,5
95,Florentine,12,w,friedrichshain-kreuzberg,10
96,Frida,12,w,friedrichshain-kreuzberg,5
97,Greta,12,w,friedrichshain-kreuzberg,5
98,Lena,12,w,friedrichshain-kreuzberg,4
99,Leni,12,w,friedrichshain-kreuzberg,4
100,Lisa,12,w,friedrichshain-kreuzberg,4
101,Matilda,12,w,friedrichshain-kreuzberg,7
102,Nina,12,w,friedrichshain-kreuzberg,4
103,Arthur,12,m,friedrichshain-kreuzberg,6
104,Fabian,12,m,friedrichshain-kreuzberg,6
105,Jan,12,m,friedrichshain-kreuzberg,3
106,Josef,12,m,friedrichshain-kreuzberg,5
107,Martin,12,m,friedrichshain-kreuzberg,6
108,Matteo,12,m,friedrichshain-kreuzberg,6
109,Muhammed,12,m,friedrichshain-kreuzberg,8
110,Samuel,12,m,friedrichshain-kreuzberg,6
111,Ava,11,w,friedrichshain-kreuzberg,3
112,Ela,11,w,friedrichshain-kreuzberg,3
113,Frieda,11,w,friedrichshain-kreuzberg,6
114,Helena,11,w,friedrichshain-kreuzberg,6
115,Lucia,11,w,friedrichshain-kreuzberg,5
116,Paulina,11,w,friedrichshain-kreuzberg,7
117,Sara,11,w,friedrichshain-kreuzberg,4
118,Selma,11,w,friedrichshain-kreuzberg,5
119,Anh,11,m,friedrichshain-kreuzberg,3
120,August,11,m,friedrichshain-kreuzberg,6
121,Bảo,11,m,friedrichshain-kreuzberg,3
122,Carlo,11,m,friedrichshain-kreuzberg,5
123,Konrad,11,m,friedrichshain-kreuzberg,6
124,Mattis,11,m,friedrichshain-kreuzberg,6
125,Oscar,11,m,friedrichshain-kreuzberg,5
126,Richard,11,m,friedrichshain-kreuzberg,7
127,Simon,11,m,friedrichshain-kreuzberg,5
128,Till,11,m,friedrichshain-kreuzberg,4
129,Ada,10,w,friedrichshain-kreuzberg,3
130,Alexandra,10,w,friedrichshain-kreuzberg,9
131,Amy,10,w,friedrichshain-kreuzberg,3
132,Elsa,10,w,friedrichshain-kreuzberg,4
133,Hanna,10,w,friedrichshain-kreuzberg,5
134,Luna,10,w,friedrichshain-kreuzberg,4
135,Mathilda,10,w,friedrichshain-kreuzberg,8
136,Melina,10,w,friedrichshain-kreuzberg,6
137,Sofie,10,w,friedrichshain-kreuzberg,5
138,Victoria,10,w,friedrichshain-kreuzberg,8
139,Edgar,10,m,friedrichshain-kreuzberg,5
140,Emilio,10,m,friedrichshain-kreuzberg,6
141,Mika,10,m,friedrichshain-kreuzberg,4
142,Neo,10,m,friedrichshain-kreuzberg,3
143,Ole,10,m,friedrichshain-kreuzberg,3
144,Peter,10,m,friedrichshain-kreuzberg,5
145,Philipp,10,m,friedrichshain-kreuzberg,7
146,Sebastian,10,m,friedrichshain-kreuzberg,9
147,Tom,10,m,friedrichshain-kreuzberg,3
148,Amelie,9,w,friedrichshain-kreuzberg,6
149,Anouk,9,w,friedrichshain-kreuzberg,5
150,Eva,9,w,friedrichshain-kreuzberg,3
151,Jenny,9,w,friedrichshain-kreuzberg,5
152,Josefine,9,w,friedrichshain-kreuzberg,8
153,Julie,9,w,friedrichshain-kreuzberg,5
154,Klara,9,w,friedrichshain-kreuzberg,5
155,Lara,9,w,friedrichshain-kreuzberg,4
156,Laura,9,w,friedrichshain-kreuzberg,5
157,Leonie,9,w,friedrichshain-kreuzberg,6
158,Ferdinand,9,m,friedrichshain-kreuzberg,9
159,Lotta,9,w,friedrichshain-kreuzberg,5
160,Florian,9,m,friedrichshain-kreuzberg,7
161,Lotte,9,w,friedrichshain-kreuzberg,5
162,Franz,9,m,friedrichshain-kreuzberg,5
163,Luisa,9,w,friedrichshain-kreuzberg,5
164,Gia,9,m,friedrichshain-kreuzberg,3
165,Malia,9,w,friedrichshain-kreuzberg,5
166,Gustav,9,m,friedrichshain-kreuzberg,6
167,Nele,9,w,friedrichshain-kreuzberg,4
168,Hannes,9,m,friedrichshain-kreuzberg,6
169,Rose,9,w,friedrichshain-kreuzberg,4
170,Jasper,9,m,friedrichshain-kreuzberg,6
171,Vy,9,w,friedrichshain-kreuzberg,2
172,Justus,9,m,friedrichshain-kreuzberg,6
173,Leonardo,9,m,friedrichshain-kreuzberg,8
174,Mats,9,m,friedrichshain-kreuzberg,4
175,Mohammed,9,m,friedrichshain-kreuzberg,8
176,Nils,9,m,friedrichshain-kreuzberg,4
177,Noel,9,m,friedrichshain-kreuzberg,4
178,Pepe,9,m,friedrichshain-kreuzberg,4
179,Thomas,9,m,friedrichshain-kreuzberg,6
180,Wilhelm,9,m,friedrichshain-kreuzberg,7
181,Amira,8,w,friedrichshain-kreuzberg,5
182,Aurora,8,w,friedrichshain-kreuzberg,6
183,Carla,8,w,friedrichshain-kreuzberg,5
184,Dorothea,8,w,friedrichshain-kreuzberg,8
185,Elise,8,w,friedrichshain-kreuzberg,5
186,Helen,8,w,friedrichshain-kreuzberg,5
187,Isabel,8,w,friedrichshain-kreuzberg,6
188,Isabella,8,w,friedrichshain-kreuzberg,8
189,Jana,8,w,friedrichshain-kreuzberg,4
190,Aaron,8,m,friedrichshain-kreuzberg,5
191,Josephine,8,w,friedrichshain-kreuzberg,9
192,Ahmed,8,m,friedrichshain-kreuzberg,5
193,Katharina,8,w,friedrichshain-kreuzberg,9
194,Alessio,8,m,friedrichshain-kreuzberg,7
195,Lilly,8,w,friedrichshain-kreuzberg,5
196,Benedikt,8,m,friedrichshain-kreuzberg,8
197,Mara,8,w,friedrichshain-kreuzberg,4
198,Bruno,8,m,friedrichshain-kreuzberg,5
199,Melek,8,w,friedrichshain-kreuzberg,5
200,Caspar,8,m,friedrichshain-kreuzberg,6
201,Nur,8,w,friedrichshain-kreuzberg,3
202,Constantin,8,m,friedrichshain-kreuzberg,10
203,Rosalie,8,w,friedrichshain-kreuzberg,7
204,Emilian,8,m,friedrichshain-kreuzberg,7
205,Sarah,8,w,friedrichshain-kreuzberg,5
206,Fritz,8,m,friedrichshain-kreuzberg,5
207,Tessa,8,w,friedrichshain-kreuzberg,5
208,Gabriel,8,m,friedrichshain-kreuzberg,7
209,Viktoria,8,w,friedrichshain-kreuzberg,8
210,Joel,8,m,friedrichshain-kreuzberg,4
211,Zeynep,8,w,friedrichshain-kreuzberg,6
212,Juri,8,m,friedrichshain-kreuzberg,4
213,Kevin,8,m,friedrichshain-kreuzberg,5
214,Otto,8,m,friedrichshain-kreuzberg,4
215,Piet,8,m,friedrichshain-kreuzberg,4
216,Robin,8,m,friedrichshain-kreuzberg,5
217,Said,8,m,friedrichshain-kreuzberg,4
218,Tim,8,m,friedrichshain-kreuzberg,3
219,Willem,8,m,friedrichshain-kreuzberg,6
220,Yiğit,8,m,friedrichshain-kreuzberg,5
221,Alice,7,w,friedrichshain-kreuzberg,5
222,Anni,7,w,friedrichshain-kreuzberg,4
223,Antonia,7,w,friedrichshain-kreuzberg,7
224,Emilie,7,w,friedrichshain-kreuzberg,6
225,Hedi,7,w,friedrichshain-kreuzberg,4
226,Jolie,7,w,friedrichshain-kreuzberg,5
227,Leah,7,w,friedrichshain-kreuzberg,4
228,Leyla,7,w,friedrichshain-kreuzberg,5
229,Linh,7,w,friedrichshain-kreuzberg,4
230,Adrian,7,m,friedrichshain-kreuzberg,6
231,Lucy,7,w,friedrichshain-kreuzberg,4
232,Bao,7,m,friedrichshain-kreuzberg,3
233,Magdalena,7,w,friedrichshain-kreuzberg,9
234,Bo,7,m,friedrichshain-kreuzberg,2
235,Merle,7,w,friedrichshain-kreuzberg,5
236,Christian,7,m,friedrichshain-kreuzberg,9
237,Meryem,7,w,friedrichshain-kreuzberg,6
238,Jonah,7,m,friedrichshain-kreuzberg,5
239,Nhi,7,w,friedrichshain-kreuzberg,3
240,Konstantin,7,m,friedrichshain-kreuzberg,10
241,Tilda,7,w,friedrichshain-kreuzberg,5
242,Kurt,7,m,friedrichshain-kreuzberg,4
243,Lennox,7,m,friedrichshain-kreuzberg,6
244,Linus,7,m,friedrichshain-kreuzberg,5
245,Malik,7,m,friedrichshain-kreuzberg,5
246,Mateo,7,m,friedrichshain-kreuzberg,5
247,Maxim,7,m,friedrichshain-kreuzberg,5
248,Mustafa,7,m,friedrichshain-kreuzberg,7
249,Nam,7,m,friedrichshain-kreuzberg,3
250,Nino,7,m,friedrichshain-kreuzberg,4
251,Stefan,7,m,friedrichshain-kreuzberg,6
252,Toni,7,m,friedrichshain-kreuzberg,4
253,Willi,7,m,friedrichshain-kreuzberg,5
254,Ömer,7,m,friedrichshain-kreuzberg,4
255,Alina,6,w,friedrichshain-kreuzberg,5
256,Alva,6,w,friedrichshain-kreuzberg,4
257,An,6,w,friedrichshain-kreuzberg,2
258,Erika,6,w,friedrichshain-kreuzberg,5
259,Evelyn,6,w,friedrichshain-kreuzberg,6
260,Hazal,6,w,friedrichshain-kreuzberg,5
261,Jasmin,6,w,friedrichshain-kreuzberg,6
262,Juna,6,w,friedrichshain-kreuzberg,4
263,Leonora,6,w,friedrichshain-kreuzberg,7
264,Linda,6,w,friedrichshain-kreuzberg,5
265,Lore,6,w,friedrichshain-kreuzberg,4
266,Lou,6,w,friedrichshain-kreuzberg,3
267,Louisa,6,w,friedrichshain-kreuzberg,6
268,Ahmad,6,m,friedrichshain-kreuzberg,5
269,Malou,6,w,friedrichshain-kreuzberg,5
270,Ahmet,6,m,friedrichshain-kreuzberg,5
271,Medina,6,w,friedrichshain-kreuzberg,6
272,Albert,6,m,friedrichshain-kreuzberg,6
273,Milena,6,w,friedrichshain-kreuzberg,6
274,Anthony,6,m,friedrichshain-kreuzberg,7
275,Nicole,6,w,friedrichshain-kreuzberg,6
276,Artur,6,m,friedrichshain-kreuzberg,5
277,Romy,6,w,friedrichshain-kreuzberg,4
278,Bela,6,m,friedrichshain-kreuzberg,4
279,Stella,6,w,friedrichshain-kreuzberg,6
280,Can,6,m,friedrichshain-kreuzberg,3
281,Yara,6,w,friedrichshain-kreuzberg,4
282,Duy,6,m,friedrichshain-kreuzberg,3
283,Yuna,6,w,friedrichshain-kreuzberg,4
284,Edward,6,m,friedrichshain-kreuzberg,6
285,Zoe,6,w,friedrichshain-kreuzberg,3
286,Emir,6,m,friedrichshain-kreuzberg,4
287,Eren,6,m,friedrichshain-kreuzberg,4
288,Hamza,6,m,friedrichshain-kreuzberg,5
289,Hugo,6,m,friedrichshain-kreuzberg,4
290,Ibrahim,6,m,friedrichshain-kreuzberg,7
291,Jannes,6,m,friedrichshain-kreuzberg,6
292,Jannis,6,m,friedrichshain-kreuzberg,6
293,Johannes,6,m,friedrichshain-kreuzberg,8
294,Johnny,6,m,friedrichshain-kreuzberg,6
295,Jona,6,m,friedrichshain-kreuzberg,4
296,Kilian,6,m,friedrichshain-kreuzberg,6
297,Lucas,6,m,friedrichshain-kreuzberg,5
298,Luke,6,m,friedrichshain-kreuzberg,4
299,Maria,6,m,friedrichshain-kreuzberg,5
300,Matthias,6,m,friedrichshain-kreuzberg,8
301,Mohamad,6,m,friedrichshain-kreuzberg,7
302,Mohammad,6,m,friedrichshain-kreuzberg,8
303,Nicolas,6,m,friedrichshain-kreuzberg,7
304,Oliver,6,m,friedrichshain-kreuzberg,6
305,Raphael,6,m,friedrichshain-kreuzberg,7
306,Timo,6,m,friedrichshain-kreuzberg,4
307,Werner,6,m,friedrichshain-kreuzberg,6
308,William,6,m,friedrichshain-kreuzberg,7
309,Anastasia,5,w,friedrichshain-kreuzberg,9
310,Annika,5,w,friedrichshain-kreuzberg,6
311,Bao,5,w,friedrichshain-kreuzberg,3
312,Defne,5,w,friedrichshain-kreuzberg,5
313,Diana,5,w,friedrichshain-kreuzberg,5
314,Elina,5,w,friedrichshain-kreuzberg,5
315,Ellen,5,w,friedrichshain-kreuzberg,5
316,Elli,5,w,friedrichshain-kreuzberg,4
317,Emmi,5,w,friedrichshain-kreuzberg,4
318,Esila,5,w,friedrichshain-kreuzberg,5
319,Fatima,5,w,friedrichshain-kreuzberg,6
320,Fiona,5,w,friedrichshain-kreuzberg,5
321,Flora,5,w,friedrichshain-kreuzberg,5
322,Fritzi,5,w,friedrichshain-kreuzberg,6
323,Isabell,5,w,friedrichshain-kreuzberg,7
324,Karla,5,w,friedrichshain-kreuzberg,5
325,Lieselotte,5,w,friedrichshain-kreuzberg,10
326,Luzia,5,w,friedrichshain-kreuzberg,5
327,Maila,5,w,friedrichshain-kreuzberg,5
328,Melissa,5,w,friedrichshain-kreuzberg,7
329,Michelle,5,w,friedrichshain-kreuzberg,8
330,Milla,5,w,friedrichshain-kreuzberg,5
331,Miray,5,w,friedrichshain-kreuzberg,5
332,Alex,5,m,friedrichshain-kreuzberg,4
333,Ngoc,5,w,friedrichshain-kreuzberg,4
334,Arne,5,m,friedrichshain-kreuzberg,4
335,Ngọc,5,w,friedrichshain-kreuzberg,4
336,Bilal,5,m,friedrichshain-kreuzberg,5
337,Ruth,5,w,friedrichshain-kreuzberg,4
338,Béla,5,m,friedrichshain-kreuzberg,4
339,Wilma,5,w,friedrichshain-kreuzberg,5
340,Duc,5,m,friedrichshain-kreuzberg,3
341,Zehra,5,w,friedrichshain-kreuzberg,5
342,Elliot,5,m,friedrichshain-kreuzberg,6
343,Zoey,5,w,friedrichshain-kreuzberg,4
344,Enno,5,m,friedrichshain-kreuzberg,4
345,Zoé,5,w,friedrichshain-kreuzberg,3
346,Ensar,5,m,friedrichshain-kreuzberg,5
347,Eric,5,m,friedrichshain-kreuzberg,4
348,Erwin,5,m,friedrichshain-kreuzberg,5
349,Fiete,5,m,friedrichshain-kreuzberg,5
350,Hussein,5,m,friedrichshain-kreuzberg,7
351,Jamal,5,m,friedrichshain-kreuzberg,5
352,Jaron,5,m,friedrichshain-kreuzberg,5
353,John,5,m,friedrichshain-kreuzberg,4
354,Joshua,5,m,friedrichshain-kreuzberg,6
355,Julian,5,m,friedrichshain-kreuzberg,6
356,Karim,5,m,friedrichshain-kreuzberg,5
357,Kasimir,5,m,friedrichshain-kreuzberg,7
358,Lennard,5,m,friedrichshain-kreuzberg,7
359,Lian,5,m,friedrichshain-kreuzberg,4
360,Lias,5,m,friedrichshain-kreuzberg,4
361,Long,5,m,friedrichshain-kreuzberg,4
362,Luan,5,m,friedrichshain-kreuzberg,4
363,Muhammad,5,m,friedrichshain-kreuzberg,8
364,Nathan,5,m,friedrichshain-kreuzberg,6
365,Otis,5,m,friedrichshain-kreuzberg,4
366,Pascal,5,m,friedrichshain-kreuzberg,6
367,Robert,5,m,friedrichshain-kreuzberg,6
368,Roman,5,m,friedrichshain-kreuzberg,5
369,Thore,5,m,friedrichshain-kreuzberg,5
370,Tobias,5,m,friedrichshain-kreuzberg,6
371,Tristan,5,m,friedrichshain-kreuzberg,7
372,Wim,5,m,friedrichshain-kreuzberg,3
373,Yasin,5,m,friedrichshain-kreuzberg,5
374,Youssef,5,m,friedrichshain-kreuzberg,7
375,Yunus,5,m,friedrichshain-kreuzberg,5
376,Đức,5,m,friedrichshain-kreuzberg,3
377,Amelia,4,w,friedrichshain-kreuzberg,6
378,Asya,4,w,friedrichshain-kreuzberg,4
379,Auguste,4,w,friedrichshain-kreuzberg,7
380,Ayşe,4,w,friedrichshain-kreuzberg,4
381,Cecilia,4,w,friedrichshain-kreuzberg,7
382,Christina,4,w,friedrichshain-kreuzberg,9
383,Coco,4,w,friedrichshain-kreuzberg,4
384,Eline,4,w,friedrichshain-kreuzberg,5
385,Elly,4,w,friedrichshain-kreuzberg,4
386,Gabriele,4,w,friedrichshain-kreuzberg,8
387,Hatice,4,w,friedrichshain-kreuzberg,6
388,Heidi,4,w,friedrichshain-kreuzberg,5
389,Holly,4,w,friedrichshain-kreuzberg,5
390,Jara,4,w,friedrichshain-kreuzberg,4
391,Jonna,4,w,friedrichshain-kreuzberg,5
392,Jule,4,w,friedrichshain-kreuzberg,4
393,Karin,4,w,friedrichshain-kreuzberg,5
394,Karlotta,4,w,friedrichshain-kreuzberg,8
395,Lilith,4,w,friedrichshain-kreuzberg,6
396,Liv,4,w,friedrichshain-kreuzberg,3
397,Liya,4,w,friedrichshain-kreuzberg,4
398,Mai,4,w,friedrichshain-kreuzberg,3
399,Malina,4,w,friedrichshain-kreuzberg,6
400,Manuela,4,w,friedrichshain-kreuzberg,7
401,Mariam,4,w,friedrichshain-kreuzberg,6
402,Marla,4,w,friedrichshain-kreuzberg,5
403,Marleen,4,w,friedrichshain-kreuzberg,7
404,Marta,4,w,friedrichshain-kreuzberg,5
405,Mathilde,4,w,friedrichshain-kreuzberg,8
406,Nika,4,w,friedrichshain-kreuzberg,4
407,Nisa,4,w,friedrichshain-kreuzberg,4
408,Amin,4,m,friedrichshain-kreuzberg,4
409,Pia,4,w,friedrichshain-kreuzberg,3
410,Andreas,4,m,friedrichshain-kreuzberg,7
411,Ronja,4,w,friedrichshain-kreuzberg,5
412,Arno,4,m,friedrichshain-kreuzberg,4
413,Selena,4,w,friedrichshain-kreuzberg,6
414,Balthazar,4,m,friedrichshain-kreuzberg,9
415,Tala,4,w,friedrichshain-kreuzberg,4
416,Cem,4,m,friedrichshain-kreuzberg,3
417,Talia,4,w,friedrichshain-kreuzberg,5
418,Damian,4,m,friedrichshain-kreuzberg,6
419,Thea,4,w,friedrichshain-kreuzberg,4
420,Dean,4,m,friedrichshain-kreuzberg,4
421,Theresa,4,w,friedrichshain-kreuzberg,7
422,Dirk,4,m,friedrichshain-kreuzberg,4
423,Tuana,4,w,friedrichshain-kreuzberg,5
424,Edwin,4,m,friedrichshain-kreuzberg,5
425,Yade,4,w,friedrichshain-kreuzberg,4
426,Efe,4,m,friedrichshain-kreuzberg,3
427,Elyas,4,m,friedrichshain-kreuzberg,5
428,Emin,4,m,friedrichshain-kreuzberg,4
429,Emre,4,m,friedrichshain-kreuzberg,4
430,Ernst,4,m,friedrichshain-kreuzberg,5
431,Frank,4,m,friedrichshain-kreuzberg,5
432,Frederick,4,m,friedrichshain-kreuzberg,9
433,Heinz,4,m,friedrichshain-kreuzberg,5
434,Huy,4,m,friedrichshain-kreuzberg,3
435,Ian,4,m,friedrichshain-kreuzberg,3
436,Ilja,4,m,friedrichshain-kreuzberg,4
437,Jacques,4,m,friedrichshain-kreuzberg,7
438,James,4,m,friedrichshain-kreuzberg,5
439,Jamie,4,m,friedrichshain-kreuzberg,5
440,Janne,4,m,friedrichshain-kreuzberg,5
441,Jayden,4,m,friedrichshain-kreuzberg,6
442,Jim,4,m,friedrichshain-kreuzberg,3
443,Jonny,4,m,friedrichshain-kreuzberg,5
444,Joris,4,m,friedrichshain-kreuzberg,5
445,Joscha,4,m,friedrichshain-kreuzberg,6
446,Justin,4,m,friedrichshain-kreuzberg,6
447,Kai,4,m,friedrichshain-kreuzberg,3
448,Leander,4,m,friedrichshain-kreuzberg,7
449,Leonhard,4,m,friedrichshain-kreuzberg,8
450,Levin,4,m,friedrichshain-kreuzberg,5
451,Lorenz,4,m,friedrichshain-kreuzberg,6
452,Lorenzo,4,m,friedrichshain-kreuzberg,7
453,Mads,4,m,friedrichshain-kreuzberg,4
454,Magnus,4,m,friedrichshain-kreuzberg,6
455,Mahmoud,4,m,friedrichshain-kreuzberg,7
456,Marius,4,m,friedrichshain-kreuzberg,6
457,Markus,4,m,friedrichshain-kreuzberg,6
458,Marlon,4,m,friedrichshain-kreuzberg,6
459,Marten,4,m,friedrichshain-kreuzberg,6
460,Matti,4,m,friedrichshain-kreuzberg,5
461,Mehmet,4,m,friedrichshain-kreuzberg,6
462,Nhat,4,m,friedrichshain-kreuzberg,4
463,Noam,4,m,friedrichshain-kreuzberg,4
464,Omar,4,m,friedrichshain-kreuzberg,4
465,Phong,4,m,friedrichshain-kreuzberg,5
466,Prince,4,m,friedrichshain-kreuzberg,6
467,Rafael,4,m,friedrichshain-kreuzberg,6
468,Ragnar,4,m,friedrichshain-kreuzberg,6
469,Ryan,4,m,friedrichshain-kreuzberg,4
470,Sami,4,m,friedrichshain-kreuzberg,4
471,Taha,4,m,friedrichshain-kreuzberg,4
472,Titus,4,m,friedrichshain-kreuzberg,5
473,Valentino,4,m,friedrichshain-kreuzberg,9
474,Victor,4,m,friedrichshain-kreuzberg,6
475,Việt,4,m,friedrichshain-kreuzberg,4
476,Adele,3,w,friedrichshain-kreuzberg,5
477,Adelina,3,w,friedrichshain-kreuzberg,7
478,Alea,3,w,friedrichshain-kreuzberg,4
479,Alessia,3,w,friedrichshain-kreuzberg,7
480,Alfreda,3,w,friedrichshain-kreuzberg,7
481,Alisa,3,w,friedrichshain-kreuzberg,5
482,Amadea,3,w,friedrichshain-kreuzberg,6
483,Amanda,3,w,friedrichshain-kreuzberg,6
484,Amine,3,w,friedrichshain-kreuzberg,5
485,Amélie,3,w,friedrichshain-kreuzberg,6
486,Andrea,3,w,friedrichshain-kreuzberg,6
487,Angela,3,w,friedrichshain-kreuzberg,6
488,Angelina,3,w,friedrichshain-kreuzberg,8
489,Annabell,3,w,friedrichshain-kreuzberg,8
490,Bella,3,w,friedrichshain-kreuzberg,5
491,Berfin,3,w,friedrichshain-kreuzberg,6
492,Celine,3,w,friedrichshain-kreuzberg,6
493,Dana,3,w,friedrichshain-kreuzberg,4
494,Ebba,3,w,friedrichshain-kreuzberg,4
495,Ecrin,3,w,friedrichshain-kreuzberg,5
496,Edda,3,w,friedrichshain-kreuzberg,4
497,Edith,3,w,friedrichshain-kreuzberg,5
498,Ellie,3,w,friedrichshain-kreuzberg,5
499,Emely,3,w,friedrichshain-kreuzberg,5
500,Fatma,3,w,friedrichshain-kreuzberg,5
501,Felicitas,3,w,friedrichshain-kreuzberg,9
502,Filippa,3,w,friedrichshain-kreuzberg,7
503,Finja,3,w,friedrichshain-kreuzberg,5
504,Friederike,3,w,friedrichshain-kreuzberg,10
505,Gia,3,w,friedrichshain-kreuzberg,3
506,Gisela,3,w,friedrichshain-kreuzberg,6
507,Halime,3,w,friedrichshain-kreuzberg,6
508,Hedda,3,w,friedrichshain-kreuzberg,5
509,Hilda,3,w,friedrichshain-kreuzberg,5
510,Hira,3,w,friedrichshain-kreuzberg,4
511,Ines,3,w,friedrichshain-kreuzberg,4
512,Isabelle,3,w,friedrichshain-kreuzberg,8
513,Ivana,3,w,friedrichshain-kreuzberg,5
514,Jessica,3,w,friedrichshain-kreuzberg,7
515,Jona,3,w,friedrichshain-kreuzberg,4
516,Juno,3,w,friedrichshain-kreuzberg,4
517,Karina,3,w,friedrichshain-kreuzberg,6
518,Kaya,3,w,friedrichshain-kreuzberg,4
519,Kiara,3,w,friedrichshain-kreuzberg,5
520,Kübra,3,w,friedrichshain-kreuzberg,5
521,Lana,3,w,friedrichshain-kreuzberg,4
522,Layla,3,w,friedrichshain-kreuzberg,5
523,Lea-Sophie,3,w,friedrichshain-kreuzberg,10
524,Leia,3,w,friedrichshain-kreuzberg,4
