,ID,Name,Latitude,Longitude,BikesAvailable,EmptySlots,Installed,Locked,Temporary,UpdateTime
64,70,"Calshot Street , King's Cross",51.53136059,-0.117069978,2.0,22,True,False,False,10:30
65,71,"Newgate Street , St. Paul's",51.5154186,-0.098850915,32.0,0,True,False,False,10:30
66,64,"William IV Street, Strand",51.50946212,-0.12474927400000001,13.0,12,True,False,False,10:30
67,65,"Gower Place , Euston",51.52522753,-0.13518856,7.0,10,True,False,False,10:30
68,66,"Holborn Circus, Holborn",51.51795029,-0.108657431,38.0,1,True,False,False,10:30
69,67,"Hatton Garden, Holborn",51.51882555,-0.10802847199999999,18.0,8,True,False,False,10:30
70,76,"Longford Street, Regent's Park",51.52559505,-0.14408389300000002,,11,True,False,False,10:30
71,77,"Russell Square Station, Bloomsbury",51.52341837,-0.124121774,0.0,25,True,False,False,10:30
72,72,"Farringdon Lane, Clerkenwell",51.52352001,-0.108340165,9.0,7,True,False,False,10:30
73,73,"Old Street Station, St. Luke's",51.52572618,-0.08848618800000001,10.0,27,True,False,False,10:30
74,74,"Vauxhall Cross, Vauxhall",51.48591714,-0.12446994800000001,12.0,5,True,False,False,10:30
75,75,"Torrens Street, Angel",51.53219984,-0.10548069800000001,1.0,18,True,False,False,10:30
76,85,"Tanner Street, Bermondsey",51.50064702,-0.078600401,1.0,18,True,False,False,10:30
77,84,"Breams Buildings, Holborn",51.51593725,-0.11177834800000001,24.0,0,True,False,False,10:30
78,87,"Devonshire Square, Liverpool Street",51.51646835,-0.079684557,14.0,0,True,False,False,10:30
79,86,"Sancroft Street, Vauxhall",51.48947903,-0.11515656199999999,1.0,23,True,False,False,10:30
80,81,"Great Titchfield Street, Fitzrovia",51.52025302,-0.141327271,18.0,1,True,False,False,10:30
81,80,"Webber Street , Southwark",51.50069361,-0.102091246,10.0,14,True,False,False,10:30
82,83,"Panton Street, West End",51.50963938,-0.13151094900000002,15.0,6,True,False,False,10:30
83,82,"Chancery Lane, Holborn",51.514274,-0.111257,13.0,0,True,False,False,10:30
84,93,"Cloudesley Road, Angel",51.53440868,-0.109025404,1.0,36,True,False,False,10:30
85,92,"Borough Road, Elephant & Castle",51.49889832,-0.10044052099999999,30.0,10,True,False,False,10:30
86,95,"Aldersgate Street, Barbican",51.5208417,-0.097340162,14.0,0,True,False,False,10:30
87,94,"Bricklayers Arms, Borough",51.49506109,-0.08581448900000001,0.0,28,True,False,False,10:30
88,89,"Tavistock Place, Bloomsbury",51.526250299999994,-0.12350961099999999,1.0,18,True,False,False,10:30
89,88,"Bayley Street , Bloomsbury",51.51858757,-0.132053392,25.0,0,True,False,False,10:30
90,91,"Walnut Tree Walk, Vauxhall",51.49368637,-0.111014912,0.0,20,True,False,False,10:30
91,90,"Harrington Square, Camden Town",51.53301907,-0.139174593,3.0,24,True,False,False,10:30
92,102,"Jewry Street, Aldgate",51.51340693,-0.076793375,17.0,0,True,False,False,10:30
93,103,"Vicarage Gate, Kensington",51.50472376,-0.192538767,0.0,18,True,False,False,10:30
94,100,"Albert Embankment, Vauxhall",51.49043573,-0.12280686099999999,16.0,8,True,False,False,10:30
95,101,"Queen Street, Bank",51.51155322,-0.09294010000000001,19.0,3,True,False,False,10:30
96,98,"Hampstead Road, Euston",51.52554222,-0.138231303,10.0,44,True,False,False,10:30
97,99,"Old Quebec Street, Marylebone",51.51457763,-0.158264483,15.0,1,True,False,False,10:30
98,96,"Falkirk Street, Hoxton",51.53095071,-0.078505384,10.0,16,True,False,False,10:30
99,97,"Gloucester Road (North), Kensington",51.49792478,-0.18383470600000001,15.0,1,True,False,False,10:30
100,110,"Wellington Road, St. John's Wood",51.53304322,-0.17252867800000002,6.0,10,True,False,False,10:30
101,111,"Park Lane , Hyde Park",51.5100172,-0.157275636,12.0,16,True,False,False,10:30
102,108,"Abbey Orchard Street, Westminster",51.49812559,-0.132102166,23.0,6,True,False,False,10:30
103,109,"Soho Square , Soho",51.51563144,-0.132328837,29.0,2,True,False,False,10:30
